ID,Measurement Date,Latitude,Longitude,Fixed?,Distance(miles),Bearing,Direction,Type,Derived?,Value,Unit,Source,Description,Meter,Probe
142999,3/16/11 22:07,35.668524,139.743352,Yes,140.5407405,210,SSW,Gamma,Yes,0.018,mR/hr,DOE,Description: Roof surface outside roof access door on Harris building;,Health Physics Kit,ADM-300
143001,3/16/11 22:07,35.668524,139.743352,Yes,140.5407405,210,SSW,Beta,Yes,0.144787645,uCi/m2,DOE,Description: Roof surface outside roof access door on Harris building;,Health Physics Kit,BP-100
143003,3/16/11 22:22,35.668524,139.743352,Yes,140.5407405,210,SSW,Gamma,Yes,0.022,mR/hr,DOE,Description: Top of outdoor a/c unit on west side of Harris building;,Health Physics Kit,ADM-300
143005,3/16/11 22:22,35.668524,139.743352,Yes,140.5407405,210,SSW,Beta,Yes,0.148005148,uCi/m2,DOE,Description: Top of outdoor a/c unit on west side of Harris building;,Health Physics Kit,BP-100
143007,3/16/11 22:27,35.668524,139.743352,Yes,140.5407405,210,SSW,Gamma,Yes,0.02,mR/hr,DOE,Description: Top of metal trashcan on west side of Harris building;,Health Physics Kit,ADM-300
143009,3/16/11 22:27,35.668524,139.743352,Yes,140.5407405,210,SSW,Beta,Yes,0.144787645,uCi/m2,DOE,Description: Top of metal trashcan on west side of Harris building;,Health Physics Kit,BP-100
143011,3/16/11 22:46,36.523795,140.227081,No,76.26861234,215,SW,Beta,Yes,0,uCi/m2,DOE,Field Team: swipe 11 ; Assessment: swipe;,Health Physics Kit,BP-100
143013,3/16/11 22:46,36.523795,140.227081,No,76.26861234,215,SW,Gamma,Yes,0.027,mR/hr,DOE,,Health Physics Kit,ADM-300
143015,3/16/11 22:45,36.523795,140.227081,No,76.26861234,215,SW,Beta,Yes,1.045688546,uCi/m2,DOE,,Health Physics Kit,BP-100
143017,3/16/11 22:44,36.524081,140.226878,No,76.25912477,215,SW,Beta,Yes,0,uCi/m2,DOE,Field Team: swipe 10 ; Assessment: swipe;,Health Physics Kit,BP-100
143019,3/16/11 22:43,36.524081,140.226878,No,76.25912477,215,SW,Gamma,Yes,0.03,mR/hr,DOE,,Health Physics Kit,ADM-300
143021,3/16/11 22:43,36.524081,140.226878,No,76.25912477,215,SW,Beta,Yes,1.544401544,uCi/m2,DOE,,Health Physics Kit,BP-100
143023,3/16/11 22:41,36.524459,140.227073,No,76.23160685,215,SW,Beta,Yes,0,uCi/m2,DOE,Field Team: Swipe 9; Assessment: swipe;,Health Physics Kit,BP-100
143025,3/16/11 22:41,36.524459,140.227073,No,76.23160685,215,SW,Gamma,Yes,0.039,mR/hr,DOE,,Health Physics Kit,ADM-300
143027,3/16/11 22:41,36.524459,140.227073,No,76.23160685,215,SW,Beta,Yes,1.19047619,uCi/m2,DOE,,Health Physics Kit,BP-100
143029,3/16/11 22:39,36.524162,140.227327,No,76.2400613,215,SW,Beta,Yes,0,uCi/m2,DOE,Field Team: Swipe 8; Assessment: swipe;,Health Physics Kit,BP-100
143031,3/16/11 22:39,36.524162,140.227327,No,76.2400613,215,SW,Gamma,Yes,0.038,mR/hr,DOE,,Health Physics Kit,ADM-300
143033,3/16/11 22:38,36.524162,140.227327,No,76.2400613,215,SW,Beta,Yes,1.287001287,uCi/m2,DOE,,Health Physics Kit,BP-100
143035,3/16/11 22:38,36.524088,140.227066,No,76.25265279,215,SW,Beta,Yes,0,uCi/m2,DOE,Field Team: Swipe 7 ; Assessment: swipe;,Health Physics Kit,BP-100
143037,3/16/11 22:37,36.524088,140.227066,No,76.25265279,215,SW,Gamma,Yes,0.04,mR/hr,DOE,,Health Physics Kit,ADM-300
143039,3/16/11 22:37,36.524088,140.227066,No,76.25265279,215,SW,Beta,Yes,1.158301158,uCi/m2,DOE,,Health Physics Kit,BP-100
143041,3/16/11 20:46,36.33699,140.583816,No,78.79924146,198,SSW,Beta,Yes,0,uCi/m2,DOE,Field Team: swipe 6 ; Assessment: swipe;,Health Physics Kit,BP-100
143043,3/16/11 20:46,36.33699,140.583816,No,78.79924146,198,SSW,Gamma,Yes,0.026,mR/hr,DOE,,Health Physics Kit,ADM-300
143045,3/16/11 20:46,36.33699,140.583816,No,78.79924146,198,SSW,Beta,Yes,0.916988417,uCi/m2,DOE,,Health Physics Kit,BP-100
143047,3/16/11 20:43,36.336545,140.583295,No,78.83748578,198,SSW,Beta,Yes,0,uCi/m2,DOE,Field Team: Swipe 5; Assessment: swipe;,Health Physics Kit,BP-100
143049,3/16/11 20:43,36.336545,140.583295,No,78.83748578,198,SSW,Gamma,Yes,0.039,mR/hr,DOE,,Health Physics Kit,ADM-300
143051,3/16/11 20:42,36.336545,140.583295,No,78.83748578,198,SSW,Beta,Yes,1.512226512,uCi/m2,DOE,Field Team: Metal ;,Health Physics Kit,BP-100
143053,3/16/11 20:40,36.336807,140.583606,No,78.81489406,198,SSW,Beta,Yes,0,uCi/m2,DOE,Field Team: Swipe 4; Assessment: swipe;,Health Physics Kit,BP-100
143055,3/16/11 20:39,36.336807,140.583606,No,78.81489406,198,SSW,Gamma,Yes,0.03,mR/hr,DOE,,Health Physics Kit,ADM-300
143057,3/16/11 20:39,36.336807,140.583606,No,78.81489406,198,SSW,Beta,Yes,0.965250965,uCi/m2,DOE,,Health Physics Kit,BP-100
143059,3/16/11 20:37,36.336865,140.583401,No,78.81467995,198,SSW,Beta,Yes,0,uCi/m2,DOE,Field Team: swipe 3 ; Assessment: swipe;,Health Physics Kit,BP-100
143061,3/16/11 20:37,36.336865,140.583401,No,78.81467995,198,SSW,Gamma,Yes,0.032,mR/hr,DOE,,Health Physics Kit,ADM-300
143063,3/16/11 20:36,36.336865,140.583401,No,78.81467995,198,SSW,Beta,Yes,0.196267696,uCi/m2,DOE,,Health Physics Kit,BP-100
143065,3/16/11 19:37,35.668524,139.743352,Yes,140.5407405,210,SSW,Beta,Yes,0.274324324,uCi/m2,DOE,"Field Team: Swipe; Description:  Rooftop of US Embassy in Tokyo, Japan ; Assessment: swipe;",Health Physics Kit,BP-100
143067,3/16/11 20:33,36.337259,140.583331,No,78.7901072,198,SSW,Beta,Yes,0,uCi/m2,DOE,Field Team: swipe 2 ; Assessment: swipe;,Health Physics Kit,BP-100
143069,3/16/11 20:26,36.337259,140.583331,No,78.7901072,198,SSW,Gamma,Yes,0.041,mR/hr,DOE,,Health Physics Kit,ADM-300
143071,3/16/11 20:26,36.337259,140.583331,No,78.7901072,198,SSW,Beta,Yes,1.544401544,uCi/m2,DOE,,Health Physics Kit,BP-100
143073,3/16/11 20:23,36.337076,140.583534,No,78.79853899,198,SSW,Gamma,Yes,0.04,mR/hr,DOE,,Health Physics Kit,ADM-300
143075,3/16/11 20:22,36.337076,140.583534,No,78.79853899,198,SSW,Beta,Yes,1.158301158,uCi/m2,DOE,,Health Physics Kit,BP-100
143077,3/16/11 17:57,35.741124,139.361025,No,148.5324125,219,SW,Gamma,Yes,0.023,mR/hr,DOE,,Health Physics Kit,ADM-300
143081,3/17/11 1:03,35.74115,139.360937,No,148.5340666,219,SW,Gamma,Yes,0.026,mR/hr,DOE,Field Team: in WIND ;,Health Physics Kit,ADM-300
143083,3/17/11 1:02,35.741094,139.360783,No,148.5424572,219,SW,Gamma,Yes,0.033,mR/hr,DOE,Field Team: No WIND ;,Health Physics Kit,ADM-300
143085,3/17/11 0:09,35.741142,139.360999,No,148.5323425,219,SW,Gamma,Yes,0.021,mR/hr,DOE,Field Team: IN WIND ;,Health Physics Kit,ADM-300
143087,3/17/11 0:08,35.741082,139.36087,No,148.5400797,219,SW,Gamma,Yes,0.016,mR/hr,DOE,Field Team: No WIND ;,Health Physics Kit,ADM-300
143089,3/16/11 19:37,35.668524,139.743352,Yes,140.5407405,210,SSW,Beta,Yes,0.09009009,uCi/m2,DOE,"Field Team: Swipe; Description:  Top of metal fence on roof of US Embassy in Tokyo, Japan ;",Health Physics Kit,BP-100
143091,3/16/11 20:52,35.668524,139.743352,Yes,140.5407405,210,SSW,Beta,Yes,0.122972973,uCi/m2,DOE,Field Team: Swipe; Description: Top of granite wall at US Embassy entrance; Assessment: swipe;,Health Physics Kit,BP-100
143093,3/16/11 20:57,35.668524,139.743352,Yes,140.5407405,210,SSW,Beta,Yes,0.09009009,uCi/m2,DOE,Field Team: Swipe; Description: Cement star emblem at US Embassy entrance;,Health Physics Kit,BP-100
143095,3/16/11 21:57,35.668524,139.743352,Yes,140.5407405,210,SSW,Beta,Yes,1.995945946,uCi/m2,DOE,Field Team: Swipe; Description: Metal top of wall on roof of Harris building; Assessment: swipe;,Health Physics Kit,BP-100
143097,3/16/11 22:02,35.668524,139.743352,Yes,140.5407405,210,SSW,Beta,Yes,0.775675676,uCi/m2,DOE,Field Team: Swipe; Description: Top of metal vent cover on roof of Harris building; Assessment: swipe;,Health Physics Kit,BP-100
143099,3/16/11 22:07,35.668524,139.743352,Yes,140.5407405,210,SSW,Beta,Yes,0.662162162,uCi/m2,DOE,Field Team: Swipe; Description: Roof surface outside roof access door on Harris building; Assessment: swipe;,Health Physics Kit,BP-100
143101,3/16/11 22:22,35.668524,139.743352,Yes,140.5407405,210,SSW,Beta,Yes,0.87972973,uCi/m2,DOE,Field Team: Swipe; Description: Top of outdoor a/c unit on west side of Harris building; Assessment: swipe;,Health Physics Kit,BP-100
143103,3/16/11 22:27,35.668524,139.743352,Yes,140.5407405,210,SSW,Beta,Yes,1.816216216,uCi/m2,DOE,Field Team: Swipe; Description: Top of metal trashcan on west side of Harris building; Assessment: swipe;,Health Physics Kit,BP-100
143105,3/17/11 5:21,35.741109,139.360992,No,148.5343729,219,SW,Gamma,Yes,0.022,mR/hr,DOE,Field Team: in WIND ;,Health Physics Kit,ADM-300
143107,3/17/11 5:19,35.741045,139.360701,No,148.5479635,219,SW,Gamma,Yes,0.022,mR/hr,DOE,Field Team: NO WIND ;,Health Physics Kit,ADM-300
143109,3/17/11 4:12,35.741104,139.361031,No,148.5332867,219,SW,Gamma,Yes,0.019,mR/hr,DOE,Field Team: IN WIND ;,Health Physics Kit,ADM-300
